,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,ROA,CurrentRatio,LiabRatio,GrossMargin,AssetTurnover,ROA_prev,GrossMargin_prev,AssetTurnover_prev,LiabRatio_prev,CurrentRatio_prev,SHARES_prev,F_ROA,F_ROA_dt,F_CFO,F_Accrual,F_Liquid,F_Lever,F_Shares,F_Margin,F_Turn,F_Score
259,007340,2022-05-10,75500,21841,1612961000,754547377500,9994005,2021-12-31,Y,1484962000000,184423000000,14000000,571605000000,178272000000,558066000000,120143000000,0,212923000000,0,3571000000,713973000000,711056000000,1077073000000,930753000000,150128000000,780624000000,89645000000,5836000000,85081000000,80832000000,4891000000,5061000000,24151000000,34032000000,3779999999,40896000000,8.868576738637298,5.729506883004413,1.9300100704934542,0.781634599627717,0.16129735816054314,0.6267857359312898,5.0352740562877605,0.15448090888262425,0.8350317908415709,0.4443198707148716,1.6368336736728477,9994005,1,1,1,0,1,0,1,1,0,6
260,026890,2022-05-10,9450,551531,5214786950,393858753750,41678175,2021-12-31,Y,341993000000,23039000000,71007000000,23942000000,71289000000,96454000000,48279000000,0,13303000000,877000000,1387000000,232236000000,230536000000,196384000000,312735000000,162711000000,150024000000,76281000000,1979000000,58095000000,57978000000,810000000,1000000000,19590000000,2853000000,267000000,30687000000,6.779563710302091,16.98718979628238,2.0360379040786283,0.41532751166916415,0.5202839464722528,0.9144485413444134,8.005820665768713,0.3862808835184526,0.6980068629337438,0.3535412868439573,2.2582799103434223,41678175,1,1,1,0,0,0,1,1,1,6
287,025560,2022-05-10,12800,79076,1000535750,56985689600,4452007,2021-12-31,Y,117722000000,19201000000,3606000000,38168000000,8836000000,29058000000,7504000000,0,4022000000,0,2499000000,84642000000,84642000000,70058000000,48338000000,16788000000,31550000000,8487000000,191000000,7490000000,7490000000,5588000000,4172000000,225000000,575000000,22000000,5207000000,7.608236261682243,6.3624471211838065,2.4109711611260236,0.3433047423265046,0.34730439819603626,0.4106114405123936,-7.019852334555177,0.2077237728585178,0.4340152678133191,0.3013499804916114,2.0579004609249574,4452007,1,1,1,0,1,0,1,1,0,6
292,107590,2022-05-10,138500,3262,449795000,321320000000,2320000,2021-12-31,Y,426808000000,59389000000,78000000,13971000000,60886000000,109717000000,71758000000,0,81333000000,144000000,3106000000,235758000000,202175000000,135070000000,421385999999,59905999999,361479000000,29724000000,1148000000,40232000000,33137000000,2129000000,1180000000,11742000000,6031000000,69000000,20147000000,7.9866772718234245,9.42625255384154,1.2310763145182606,0.465379753815353,0.14216419149934303,0.9872963955666249,7.146415019154312,0.16054898242384183,0.8723468485194276,0.3350330614777043,1.4482130491072773,2320000,1,1,1,0,0,0,1,0,1,5
304,026940,2022-05-10,4870,417636,1998797820,97400000000,20000000,2021-12-31,Y,150684000000,41151000000,18237000000,14272999999,40644000000,30220999999,27727000000,0,39000000,8000000,31000000,120425000000,120425000000,114313000000,195734000000,13203000000,182531000000,8056000000,27000000,8794000000,8794000000,5000000,1249000000,2211000000,241000000,0,-3092000000,11.075733454628155,5.836054259244512,3.782568412818324,0.25095287522524395,0.06745378932633063,1.298970029996549,0.6112275233938257,0.04574246023177139,1.0509633641720817,0.1635663773848096,5.106061423867868,20000000,1,1,0,0,0,0,1,1,1,5
314,014710,2022-05-10,6130,336841,2070531570,105549668590,17218543,2021-12-31,Y,336931000000,46508000000,15266000000,7739000000,14134000000,90018000000,30089999999,0,16918000000,2642000000,1042000000,229994000000,229994000000,87497000000,174615000000,22874000000,151741000000,14004000000,650000000,9842000000,9842000000,2226000000,2392000000,3340000000,4032000000,11000000,12999000000,10.724412577728105,2.921072860615378,0.9719944899908907,0.39139281894310285,0.13099676431005355,0.5182515114370598,2.5163731111959673,0.09775852501900148,0.6881584140624248,0.2506059413078846,1.509813570549825,17218543,1,1,1,1,0,0,1,1,0,6
329,145990,2022-05-10,52700,18621,966079900,543518762300,10313449,2021-12-31,Y,2802047000000,409693999999,162699000000,120270000000,280186000000,749249000000,282949000000,0,626861000000,12828000000,9802000000,1425937000000,1263627000000,985176000000,2384454000000,387289000000,1997164000000,82553000000,22198000000,56392999999,41156000000,23562000000,24922000000,19758000000,72581000000,4935000000,-17943000000,9.638053700098205,2.012564385929287,1.3148846378173344,0.5254432699340854,0.16242250846525033,0.8509685954589626,2.989740257824829,0.19522197208561948,0.796345631516745,0.3442083159951012,1.9812522009499516,10313449,1,0,0,0,0,0,1,0,1,3
330,003230,2022-05-10,88800,115541,10086690100,668931732000,7533015,2021-12-31,Y,753080000000,44776000000,50980000000,114492000000,57530999999,182419000000,116708000000,0,174970000000,0,0,395691000000,390387000000,278912000000,642030000000,170638000000,471392000000,65363000000,3719000000,56658000000,56348000000,438000000,1019000000,15469999999,14869999999,399000000,58358000000,11.806483320978503,7.523503479046051,1.528963539982129,0.4610137708464433,0.2657788576857779,0.8525389068890423,12.220616154642734,0.29525201732595024,1.1659097773558853,0.47095969776201063,1.2227962801049201,7533015,1,0,1,1,1,1,1,0,0,6
332,272550,2022-05-10,22150,14913,323383300,349719062650,15788671,2021-12-31,Y,612487000000,23922000000,73228000000,20894000000,65453000000,179584000000,52175000000,0,111660999999,2256000000,2522000000,321241000000,321241000000,185164000000,391946000000,84792000000,307154000000,46146000000,6388000000,30302000000,30302000000,6487000000,1362000000,7615000000,23698000000,1996000000,56247000000,11.54112146557983,4.947370311533143,1.0310718104062724,0.5590320040094509,0.21633592382624137,0.6399254188252159,5.721305783484262,0.24634558409441493,0.6511362186981846,0.41751207179715477,1.1187989353012686,15788671,1,0,1,1,0,0,1,0,0,4
342,009770,2022-05-10,28800,1870,53460750,71999164800,2499971,2021-12-31,Y,239413000000,22306000000,78632000000,20323000000,17208000000,20900000000,17533000000,0,2394000000,0,0,216119999999,216119999999,138565000000,138137000000,10625000000,127511999999,1345000000,237000000,7614000000,7614000000,13902000000,19913000000,2109000000,5221000000,9000000,1719000000,9.456155082742317,3.180278430995811,6.629904306220095,0.09670553396306082,0.07691639459377285,0.5769820352278281,11.53702406983388,0.15205253842316394,0.6286208925986227,0.07831296747503633,8.147016099745793,2499971,1,0,1,0,0,0,1,0,0,3
