,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Inventory,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Receviables,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,Current_Assets_Total,REV,GROSS,CGS,OPR,SGA_2,NETINC,NETINC_1,FINCOST,FININC,TAX,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,CFO_Total,PER,EBIT,GreenBlatt
1874,204840,2022-05-10,1210,4814490,5724374220,74843413810,61854061,2021-12-31,Y,31895000000,3386999999,0,6189000000,3660000000,4865000000,1975000000,115999999,9550000000,0,716000000,17480000000,16849000000,13269999999,12426000000,3769000000,8657000000,-2694000000,254999999,-3734000000,-3727000000,867000000,17000000,-107000000,1572000000,468000000,-2271000000,-20.043763741296196,-2991000000,-0.11065482796892342
1875,311320,2022-05-10,21150,24765,512971950,131763019500,6229930,2021-12-31,Y,46564000000,4229999999,25445000000,3572999999,3306000000,3795000000,2722000000,0,1021000000,166000000,479000000,41748000000,41748000000,36877000000,21702000000,9984000000,11717000000,6117000000,269000000,5314000000,5314000000,17000000,112000000,1091000000,505999999,32000000,4024000000,24.795449661272112,6310000000,0.14753676728471557
1876,219750,2022-05-10,1425,0,0,27234074175,19111631,2021-12-31,Y,47011000000,18835000000,3279999999,295000000,3419000000,24716000000,2856000000,0,7931000000,43000000,0,14363999999,14363999999,26539999999,15680000000,-599000000,16279000000,-11317000000,1051000000,-9742000000,-9742000000,29043000000,31289000000,4000000,915000000,504000000,-14824000000,-2.7955321468897556,-11984000000,-0.5375196232339089
1877,018120,2022-05-10,27700,6162,170283800,183405024000,6621120,2021-12-31,Y,94877000000,16027000000,17800000000,10266000000,17508000000,15424000000,13405000000,681000000,260000000,18000000,70000000,79194000000,77887000000,61860000000,90345000000,15303000000,75042000000,11349000000,227000000,9529000000,9298000000,72000000,611000000,2856000000,3001000000,0,8788000000,19.247037884353027,11846000000,0.14909443318691554
1878,109820,2022-05-10,5360,858703,4710458050,109309910400,20393640,2021-12-31,Y,39532000000,2281000000,4700000000,12479000000,1525000000,5343000000,1303000000,0,1868000000,200999999,1632999999,32320999999,32320999999,21113000000,12106000000,5871000000,6236000000,-1225000000,162000000,-988000000,-988000000,1549000000,2043000000,265000000,455999999,24000000,3369000000,-110.63756113360324,-1217000000,-0.035596244406095524
1879,086060,2022-05-10,5280,192392,997908940,45463899360,8610587,2021-12-31,Y,60367999999,13676000000,10430000000,7430000000,10300000000,14138999999,5955000000,0,2284000000,137000000,0,43945000000,43945000000,42175000000,62814000000,7577000000,55236000000,-208000000,216000000,-484000000,-484000000,0,0,-353000000,1232000000,12000000,-2841000000,-93.93367636363637,-837000000,-0.018105518181228235
1880,036890,2022-05-10,12150,489237,5836837600,273159556200,22482268,2021-12-31,Y,360754000000,109730000000,340000000,13638999999,125506000000,180624000000,92102000000,475000000,11617000000,0,430999999,168513000000,168513000000,251850000000,438324000000,69830000000,368494000000,25293000000,1468000000,17081000000,17081000000,6786000000,6440000000,6865000000,9698000000,505999999,-19872000000,15.992011954803584,24292000000,0.13485815799700215
1881,363250,2022-05-10,10700,62115,638002350,73607226000,6879180,2021-12-31,Y,50658000000,1541000000,12000000000,25631000000,2098999999,2644000000,1282000000,0,3928000000,85000000,721000000,44085000000,44085000000,41514000000,13237000000,8666000000,4571000000,2266000000,141000000,3551000000,3551000000,115999999,1060000000,-387000000,245000000,64000000,986000000,20.72859081948747,2219999999,0.046236514329153995
1882,007370,2022-05-10,6630,85047,556999080,79560000000,12000000,2021-12-31,Y,98502000000,9060000000,3454999999,11720000000,16712000000,27143000000,3429000000,0,6041000000,2277000000,0,65317999999,65317999999,41005000000,62839000000,33983999999,28856000000,6964000000,290000000,9538000000,9538000000,524000000,136000000,2594000000,2122000000,32000000,1971000000,8.341371356678549,12520000000,0.17545088916604773
1883,085660,2022-05-10,17000,216937,3676725100,956561406000,56268318,2021-12-31,Y,1535125000000,25105000000,221436000000,122521000000,170989000000,421538000000,247478000000,0,320475000000,2080000000,5409000000,793112000000,456056000000,576916000000,727476000000,216639000000,510837000000,7713000000,11074000000,-21844000000,-13968000000,52349000000,34361000000,11811000000,24525000000,3336999999,22230000000,-43.790578923274126,7955000000,0.007143581956326717
1884,261780,2022-05-10,7130,62825,445939810,188439925060,26429162,2021-12-31,Y,65313000000,0,57595000000,3954999999,267000000,24706000000,408000000,0,992000000,223000000,752000000,39615000000,39615000000,61847000000,500000000,500000000,0,-6085000000,245000000,-18420000000,-18420000000,12734000000,306000000,0,235000000,11000000,-4740000000,-10.230180513572204,-5992000000,-0.1475607653852784
1885,158310,2022-05-10,1680,0,0,80373095040,47841128,2021-12-31,Y,29956000000,388000000,0,3377000000,8366000000,3045000000,355000000,0,283000000,0,200999999,26627000000,26627000000,13150000000,3499000000,2504000000,994999999,-408000000,140000000,12180000000,12180000000,3899000000,1643000000,0,306000000,15000000,-9538000000,6.598776275862069,14436000000,0.5364349150904835
1886,094850,2022-05-10,12700,144030,1787592250,177800000000,14000000,2021-12-31,Y,96789000000,198000000,47797000000,5787000000,8675000000,6086000000,1536000000,178000000,459999999,0,0,90243000000,90243000000,63438000000,4859000000,4859000000,0,-18701000000,1136000000,-14404000000,-14404000000,21000000,751000000,-3404999999,586000000,550000000,-16268000000,-12.343793390724798,-18538999999,-0.20439235746336945
1887,004650,2022-05-10,13650,90630,1213439600,125455580250,9190885,2021-12-31,Y,190020000000,15372999999,5678000000,5002000000,23987000000,49196000000,7266000000,0,3057000000,0,171000000,137767000000,134675000000,52354999999,96991000000,23603000000,73388000000,14101000000,1390000000,10072000000,9842000000,1192000000,342000000,3426000000,3663000000,10000000,12773000000,12.455875719817316,14348000000,0.10188604215190593
1888,311690,2022-05-10,34500,6977,237287050,202814184000,5878672,2021-12-31,Y,116355000000,146000000,18020000000,62060000000,875000000,23836000000,2660000000,0,4666000000,235000000,0,87853000000,87853000000,81555000000,4363000000,1653000000,2710000000,-10108000000,781000000,-19272000000,-19272000000,8945000000,420000000,0,1533000000,28999999,-8437000000,-10.523774595267746,-10747000000,-0.1161599239075217
1889,278280,2022-05-10,270000,92383,24077600500,2700000000000,10000000,2021-12-31,Y,404594000000,62116000000,26414999999,35334000000,59545000000,68053000000,13943000000,0,30486000000,882000000,96000000,306055000000,284793000000,227644999999,271579000000,54411000000,217167999999,50629000000,488999999,48015000000,43770000000,1027999999,3770000000,6928000000,16121000000,46000000,-14279000000,56.232427366447986,52200999999,0.15511037287878743
1890,096240,2022-05-10,29000,54881,1584668750,334769156000,11543764,2021-12-31,Y,229861000000,1568000000,10520000000,55189000000,13865000000,80643000000,14197999999,0,46181000000,0,10927000000,103036999999,83004000000,83300000000,210736000000,210736000000,0,31195000000,21696000000,18535000000,15863000000,1480000000,632000000,6367000000,20650000000,1046000000,51470000000,18.061459724844887,25750000000,0.1725663123751826
1891,066360,2022-05-10,1395,114325,158113855,65387177955,46872529,2021-12-31,Y,276283000000,34942000000,392000000,18320000000,23896000000,183948000000,32817000000,0,45273000000,2955000000,7203000000,47062000000,46469000000,97079000000,363567000000,35182000000,328385000000,2087000000,2300000000,-27950000000,-27979000000,7420000000,1225000000,1027999999,10823000000,97000000,-13694999999,-2.339433916100179,-20727000001,-0.22447609250013537
1892,047820,2022-05-10,2505,0,0,543652705140,217027028,2021-12-31,Y,546441000000,20185000000,30606000000,118870000000,25249000000,103875000000,21837000000,0,72328000000,5363000000,448000000,370238000000,335162000000,204743000000,149110000000,19753000000,129357000000,4190000000,1870000000,-24978000000,-22409000000,49457000000,25610000000,2022000000,3981000000,14347999999,4573000000,-21.76526163583954,891000000,0.0020132590393297273
1893,052300,2022-05-10,1240,1637541,1981277700,142699202480,115080002,2021-12-31,Y,783058000000,20185000000,37780000000,123875000000,30874000000,127808000000,23367000000,0,119166000000,6852000000,448000000,536084000000,268215000000,221804000000,62021000000,9270000000,52750000000,-1454000000,1068000000,65616999999,63259000000,41010000000,51616000000,23506000000,2089999999,555000000,3983000000,2.174729147662568,78516999999,0.11982754673636017
1894,094360,2022-05-10,19200,143661,2685752450,185094048000,9640315,2021-12-31,Y,45938000000,0,19214000000,3664000000,2364000000,4556000000,2475000000,580000000,3411000000,149000000,860000000,37972000000,37972000000,27151000000,19980000000,19980000000,0,5199000000,1616000000,6268000000,6268000000,317000000,465000000,-375000000,1340000000,275000000,9853000000,29.530001276324185,5745000000,0.1388284761490503
1895,016920,2022-05-10,3155,1052846,3210444820,83587112390,26493538,2021-12-31,Y,161233000000,28192000000,2100000000,9039000000,37932000000,93575000000,28129000000,0,18321000000,334000000,9010000000,49337000000,49337000000,80237000000,160551000000,47400000000,113151000000,5789000000,0,-2578000000,-2578000000,7313000000,355000000,19000000,3023000000,229000000,-944000000,-32.42323987199379,4399000000,0.0650181796683319
1896,284620,2022-05-10,2555,198685,502503940,282265893840,110475888,2021-12-31,Y,41957000000,0,11310000000,23231000000,301000000,25655000000,926000000,0,1701000000,0,0,14600000000,12104000000,36873000000,1662000000,1660000000,2000000,-11219000000,810000000,-16225000000,-16212000000,5260000000,92000000,1000000,599000000,211000000,-9195000000,-17.396973426194144,-11056000000,-0.6781989939884677
1897,293490,2022-05-10,56900,782647,43900233100,4474218325900,78633011,2021-12-31,Y,4305012000000,60161000000,149471000000,808676000000,102490000000,842729000000,662627000000,7431999999,1041796999999,98000000,19882000000,2420486000000,2101291000000,1151245000000,1012481000000,1012481000000,0,111917000000,43263000000,520155000000,528656000000,65236000000,18144000000,201919000000,20109000000,23154000000,227786000000,8.60170204246811,769166000000,0.22215572788244056
1898,042000,2022-05-10,16900,125014,2083380900,380202646200,22497198,2021-12-31,Y,416158000000,5472000000,38332000000,24193000000,37779000000,93752000000,52411000000,0,51031000000,20000000,1914999999,271375000000,233878000000,111556000000,276274000000,276274000000,0,-19945000000,29645999999,-18050000000,-18765000000,3465000000,1821000000,-3681000000,25086000000,4560000000,5645000000,-21.063858515235456,-20087000000,-0.0623034310775854
1899,317530,2022-05-10,8700,37206,313328030,60475405200,6951196,2021-12-31,Y,16997000000,727000000,2505000000,1278000000,1059000000,3522000000,1694000000,0,1134000000,0,224000000,12341000000,11993000000,6121000000,6686000000,6686000000,0,-2283000000,1136000000,-2011000000,-2194000000,392000000,78000000,-69000000,1005000000,132000000,-693000000,-30.07230492292392,-1766000000,-0.13105751391465678
1900,071850,2022-05-10,2380,95334,221912795,39434667440,16569188,2021-12-31,Y,251691000000,55979000000,545000000,7991000000,34810000000,137858000000,28539000000,0,18560000000,0,1061999999,95272000000,95272000000,107583999999,141244000000,-743000000,141987000000,-17615000000,442000000,-15326000000,-15326000000,3506000000,369000000,-2616000000,13091999999,1398000000,-1575000000,-2.5730567297403106,-14805000000,-0.13005894599984189
