,STKCODE,PER,PBR,PSR,PCR
406,004170,5.342436052253696,0.41304709179038734,0.35592894667429387,1.4858948927714726
383,019440,5.430261852257052,0.4250331632348196,0.1483034371178707,2.812224484551367
59,034220,5.470729581957451,0.41583284385561353,0.20825292086724698,1.053458899829962
1001,005160,5.506599837156995,0.3325188455854923,0.2356648637163462,4.533879146892516
516,129260,5.653143877400296,0.4688291292160891,0.15556249447750903,3.1733468932988917
560,035000,5.680607895803338,0.6901298255377041,0.22150278077079022,2.876270752838412
1089,012700,5.875005446052895,0.5397791372129412,0.47634244235610634,4.900194636729966
1258,093920,5.897237231414886,0.6373021031872818,0.36294618488006575,4.733908916464169
684,004150,5.901643586650666,0.25839465110527715,0.33110640861550605,4.437433693683883
2142,017890,5.908001019627836,0.5776090442584139,0.482738058315298,4.601201393441542
55,058850,5.924261659564394,0.5533271328199714,0.10151551185574328,2.000366214352805
53,030200,5.942896628946992,0.5688368621935589,0.37537131673437646,1.1650381921107573
607,009410,6.068938703779417,0.5153006843230018,0.13147532753746557,3.598659777577784
210,015230,6.131194190667221,0.6920993694382618,0.442191966252419,5.171072938810687
2109,043370,6.163813049514114,0.2867176304897324,0.20421170209293363,2.3198069315841043
602,015890,6.169563972082428,0.528469642884817,0.36145756962785647,4.460264431461458
749,000850,6.175752644426363,0.2455706687028433,0.3527377843064345,4.450829766023573
18,155660,6.2500778767678025,0.540016794780699,0.3354465933713185,4.071924341437675
191,001680,6.28197397038757,0.6655072867291482,0.22891690418185603,3.084253115596187
2165,045100,6.347300159392127,0.6981569808493162,0.32695286007834723,4.651944311089775
1715,089850,6.372462076075583,0.4886969986689072,0.29622440373665987,3.633005521440101
277,011170,6.467176093662255,0.4236179359882969,0.33243126082512886,3.760086314732214
732,005380,6.483797822394583,0.4618441012510998,0.32001032534696255,4.702323496750008
9,097950,6.550980559963701,0.5408095850781803,0.22283140855604855,2.908152580577562
462,000670,6.564230199907219,0.3064854407974354,0.31994922500705136,5.051095729851632
1273,081580,6.5731066613069205,0.46464075057285226,0.32130871308202597,3.1295523759424704
646,002200,6.7825742055121685,0.38565194348427,0.312474303100074,4.429286824956305
713,267270,6.782962372374629,0.492174757826616,0.24156018527902703,4.1527077707110065
353,004690,6.87639130251983,0.3236092909599955,0.11368245544526928,1.859750691733313
