,STKCODE,DATE,CLOSE_PRICE,TRDVOL,TRDVAL,MARKETCAP,SHARES,REPORT_DATE,REPORT,Assets_Total,Current_Fin_Assets,Cash_and_Cash_Equivalents,Current_Liab_Total,Current_Liab_Total,Current_Payables,Current_Emp_Benefits,LT_Liab_Total,LT_Payables,LT_Emp_Benefits,Equity_Total,Controlling_Equity_Total,REV,GROSS,OPR,SGA_2,NETINC,NETINC_1,Add_Exp_WO_CF_Out_5,Add_Exp_WO_CF_Out_6,EPS,EPS_prev,EPS Growth,PEG
41,009440,2022-05-10,4520,178173,787243675,101406109600,22434980,2021-12-31,Y,906606000000,8995000000,159386000000,465205000000,465205000000,329179000000,0,181434000000,20310000000,8331000000,259966000000,160554000000,750828000000,127123000000,20404000000,10270000000,9794000000,2708000000,24688000000,4967000000,436.55042259899494,-3517.6318409911664,112.4103499835272,0.09210807838300075
42,119650,2022-05-10,5200,45289,234102070,91520000000,17600000,2021-12-31,Y,385077000000,1148000000,89282000000,265342000000,265342000000,221511000000,0,69784000000,21036000000,541000000,49951000000,49055000000,355035000000,28818000000,4648000000,2413000000,11965000000,11488000000,2244000000,802999999,679.8295454545455,-3631.306818181818,118.72134687299527,0.06442797678760495
43,092220,2022-05-10,3215,3418370,10587593190,465365273315,144748141,2021-12-31,Y,400589000000,63723000000,23515000000,97809000000,97809000000,37189000000,0,23632000000,1000000,4978000000,279148000000,272644999999,267473000000,56490000000,26526000000,1322000000,10173000000,9592000000,7908000000,25000000,70.28069534931022,-309.88999022792285,122.67924023542001,0.37288408684937197
44,016380,2022-05-10,21850,15695219,351065370200,2185194399450,100008897,2021-12-31,Y,2771098000000,1286000000,67870000000,815570000000,815570000000,318479000000,0,805364000000,0,16762000000,1150164000000,1150418000000,3354789000000,396767000000,296912000000,2987000000,190708000000,190951000000,61504000000,0,1906.9103421868556,668.8704905824529,185.09410551604938,0.061905406348029775
45,001390,2022-05-10,37850,598843,22884935500,524831733600,13866096,2021-12-31,Y,4884892000000,41000000000,363646000000,1815855000000,1815855000000,849127000000,0,1281525000000,5710000000,31508999999,1787513000000,473789999999,4931505000000,916920000000,467168000000,51120000000,281961000000,74404000000,140912000000,12776000000,20334.562807007827,11154.112880799325,82.3055138881705,0.022615287517070044
46,033180,2022-05-10,2110,1123608,2307254115,323337625910,153240581,2021-12-31,Y,539371000000,26925000000,22063000000,105852000000,105852000000,21646000000,285000000,6259000000,182000000,1680999999,427260000000,422220000000,120192000000,34813000000,-6920000000,2587000000,-1716000000,-848000000,3769000000,160000000,-11.198078138322902,-307.56865898335377,96.3591615038615,-1.9554465500064722
47,001940,2022-05-10,17400,25417,434819650,281469012000,16176380,2021-12-31,Y,1688093000000,847162000000,48702000000,230594999999,230594999999,177635000000,0,36783000000,776000000,14928000000,1420716000000,948526000000,1580849000000,266054000000,200741000000,4367000000,178383000000,113727000000,23204000000,46000000,11027.374480569819,2255.387175622729,388.9348755618901,0.004056955437558023
48,025000,2022-05-10,52200,3867,200161800,252648000000,4840000,2021-12-31,Y,777143000000,124513000000,57108000000,188513000000,188513000000,93778000000,0,10562000000,202000000,748000000,578068000000,566440000000,1020786000000,120648000000,44680000000,2418000000,49248000000,48137000000,17652000000,306000000,10175.206611570247,13309.09090909091,-23.546944858420275,-0.21786762528684575
49,092230,2022-05-10,61700,2133,130560900,260660658200,4224646,2021-12-31,Y,1814858000000,295304000000,129418000000,342386000000,342386000000,123139000000,0,103052000000,9604000000,2461000000,1369420000000,821246999999,1238702000000,156712000000,54144000000,2674000000,82325000000,46168000000,29672000000,503000000,19486.83984409581,45935.446425570335,-57.577771937689704,-0.05499065504839191
50,000040,2022-05-10,812,205117,162818959,78063756372,96137631,2021-12-31,Y,168437000000,509999999,20056000000,95522000000,95522000000,43851000000,0,22689000000,425000000,1657999999,50226000000,36997000000,133509999999,17683000000,-2698000000,1928000000,-11925000000,-9468000000,3232000000,46000000,-124.04091796270703,-119.47454790101911,-3.8220442277555327,1.7127554155170481
51,044450,2022-05-10,11500,69055,780600400,265487620000,23085880,2021-12-31,Y,1446229000000,175000000,38035000000,381598000000,381598000000,27272000000,0,721806000000,0,6302000000,342825000000,342752000000,324001000000,72184000000,58089000000,442000000,56071000000,56072000000,59991000000,11000000,2428.800634846928,568.7026008971718,327.07746210678647,0.01447622595804
52,030200,2022-05-10,36150,1016932,36454190450,9439191859200,261111808,2021-12-31,Y,37159341000000,1185659000000,3019592000000,10072432000000,10072432000000,6641422000000,0,10519748000000,1338781000000,197883000000,16567160999999,14976535999999,24898005000000,24898005000000,1671824000000,3607637000000,1459395000000,1356878000000,3042610000000,604744000000,5589.157423321124,2693.8345124552925,107.47961307492837,0.060177738844661224
53,033780,2022-05-10,82600,331155,27280860200,11340360252200,137292497,2021-12-31,Y,11637271000000,1440145000000,946570999999,2063946000000,2063946000000,1683813000000,0,364463000000,57434000000,57736000000,9208862000000,9158786000000,5228352000000,2878172000000,1338383000000,73675000000,971759000000,977259000000,202666000000,14494000000,7078.019711448616,8533.918645241043,-17.06014545386265,-0.6840463815827754
54,058850,2022-05-10,2345,150584,348932355,100096325000,42685000,2021-12-31,Y,416750000000,29583999999,63884000000,189641000000,189641000000,153209000000,0,44530000000,39109000000,263000000,182578000000,175571000000,965720999999,965720999999,21037000000,18370000000,19034000000,18244000000,16811000000,1559000000,445.9177697083285,265.2688297996954,68.10032676852427,0.07722161355573809
55,058860,2022-05-10,2600,174851,443540900,90485200000,34802000,2021-12-31,Y,369361000000,31631000000,30520999999,103927000000,103927000000,64313000000,0,73691000000,1675000000,0,191742000000,191742000000,468004000000,468004000000,14405000000,21919000000,24944000000,24944000000,21217000000,702000000,716.7404172174013,212.25791621171197,237.67429267632326,0.01526262531208256
56,093050,2022-05-10,19400,105903,2011622100,567256000000,29240000,2021-12-31,Y,2541138000000,243023999999,400536000000,613206000000,613206000000,230773999999,0,429562000000,58537000000,13254000000,1498370000000,1334881000000,1793104000000,1098095000000,158866000000,76123000000,136154000000,118640000000,54259000000,23580000000,4656.429548563611,977.9753761627907,376.1295286220495,0.0110767221952748
57,003550,2022-05-10,70900,274237,19395203000,11152640403700,157300993,2021-12-31,Y,25669796000000,1811695000000,1132504000000,2819273000000,2819273000000,1347462000000,0,910302000000,21424000000,26132000000,21940221000000,21246547000000,6859010000000,2793563000000,2460104000000,24758000000,2683974000000,2565453000000,146688000000,28739999999,17062.664060868326,9794.331050408562,74.20959096697648,0.05599372462550194
58,034220,2022-05-10,17150,2486649,42386099950,6136539255000,357815700,2021-12-31,Y,38154515000000,811508000000,3541597000000,13994817000000,13994817000000,9433857000000,0,9397197000000,0,1589000000,14762501000000,13118854999999,29878043000000,5305104000000,2230608000000,267042000000,1333544000000,1186182000000,4500701000000,0,3726.901865960605,-212.81067320411037,1851.2758217657954,0.0024856789691313293
59,051900,2022-05-10,807000,70071,55900345000,12603884979000,15618197,2021-12-31,Y,7555239000000,96002000000,734521000000,1525845000000,1525845000000,869701000000,0,531562000000,4679000000,87315000000,5497833000000,5388010000000,8091511000000,5051628000000,1289630000000,171986000000,861128000000,844523000000,240917000000,34130000000,55136.19785945843,52061.13099994833,5.9066462837950136,2.477968357318283
60,032640,2022-05-10,14150,1295204,18135210800,6178050758150,436611361,2021-12-31,Y,19370515000000,121978000000,770318000000,5073659000000,5073659000000,2682092000000,0,6338298000000,898098000000,30891000000,7958558000000,7673144000000,13851135000000,13851135000000,979014000000,2441136000000,724218000000,712335000000,2071100000000,370036000000,1658.7245882500067,1094.944022766737,51.48944181262275,0.16567766822810479
61,011070,2022-05-10,338500,344966,115379735500,8011315719500,23667107,2021-12-31,Y,7741353000000,403000000,565874000000,3310268000000,3310268000000,2541387000000,0,1116879000000,28123000000,3493000000,3314206000000,3314206000000,14945609000000,2130538000000,1264223000000,49881000000,888282000000,888282000000,723759000000,45781000000,37532.343940474006,9977.05380721015,276.1866445317794,0.03265504689914775
62,066570,2022-05-10,111500,809529,89837867000,18246731261000,163647814,2021-12-31,Y,53481478000000,177498000000,6051516000000,23619899000000,23619899000000,16252454999999,0,9763546000000,342737000000,201878000000,20098033000000,17230643000000,74721629000000,18872877000000,3863774000000,617935000000,1414972000000,1031710000000,2345142000000,493757000000,8646.446080850184,12611.167540557553,-31.438179272115867,-0.4101850651929117
63,037560,2022-05-10,5900,666228,3842277290,456936503500,77446865,2021-12-31,Y,1488116000000,22261000000,129494000000,268234000000,268234000000,181210000000,0,567498000000,269000000,6344000000,652384000000,652384000000,1080132000000,971711000000,44492000000,169594000000,26922000000,26922000000,140179000000,29414999999,347.61897721747675,-4038.820680475575,108.60694258841283,0.1562755176842168
64,051910,2022-05-10,501000,449131,221901523000,35366763843000,70592343,2021-12-31,Y,51135302000000,153138000000,3760833999999,15062096000000,15062096000000,8577108000000,0,12863218000000,89503000000,18122000000,23209988000000,21693784000000,42654722000000,11218310000000,5025466000000,413124000000,3953904000000,3669787000000,2617730000000,223178000000,56010.380615926006,9666.884126512135,479.4046963107114,0.018658078581166
65,079550,2022-05-10,82800,330753,27219739900,1821600000000,22000000,2021-12-31,Y,2576847000000,18019000000,74538000000,1481146000000,1481146000000,332231000000,0,332397000000,760000000,8456999999,763304000000,763304000000,1822193999999,231569999999,97201000000,4389000000,105056000000,105056000000,40837000000,16309000000,4775.272727272727,2631.0,81.50029370097785,0.21275167243979073
